keyword,nDCG@5,Precision@5,Recall@5,MRR
housing properties,1,0.4,1,1
hygroscopic,1,0.2,1,1
hygroscopic properties,1,0.4,0.666667,1
ionic compound,1,0.2,1,1
liquid holding capacity,1,0.2,1,1
mechanical characteristics,1,0.2,1,1
mechanical properties,1,0.2,1,1
moisture barrier properties,1,0.4,1,1
moisture proof properties,1,0.2,1,1
nacl,1,0.2,1,1
naoh,1,0.2,1,1
physical properties,1,0.2,1,1
properties,1,0.2,1,1
reusable salt,1,0.2,1,1
soaking properties,1,0.2,1,1
absorbency,0.9674679835,0.6,1,1
absorbent characteristics,1,0.2,1,1
absorbing polymer,1,0.2,1,1
absorption characteristics,1,0.2,0.5,1
absorption properties,1,0.2,1,1
adsorbent properties,1,0.2,1,1
adsorption performance,1,0.2,1,1
capable of absorbing,1,0.2,1,1
characteristic,1,0.2,1,1
desiccant,1,0.3,1,1
dielectric properties,1,0.4,1,1
food absorption,1,0.2,1,1
mechanical properties,1,0.2,1,1
mechanical resistance,1,0.2,1,1
metal properties,1,0.2,1,1
moisture,1,0.2,1,1
optical properties,1,0.2,1,1
performance,1,0.2,1,1
physical properties,1,0.2,1,1
physical resistance,1,0.4,1,1
physiological properties,1,0.2,0.2,1
plastic properties,1,0.2,1,1
polymer,1,0.2,1,1
properties,1,0.2,1,1
samples,1,0.2,1,1
soaking,1,0.2,1,1
soaking properties,1,0.4,1,1
sponge,1,0.2,1,1
water,1,0.2,0.111111,1
water penetration capacity,1,0.2,1,1
amount,1,0.2,1,1
formation,1,0.2,1,1
strength,1,0.4,1,1
aggrecan core protein,1,0.2,1,1
aggrecan core protein precursor,1,0.2,1,1
cartilage extracellular matrix,1,0.2,1,1
cartilage specific proteoglycan core protein,1,0.2,1,1
chondroitin sulfate proteoglycan 1,1,0.2,1,1
coding language,1,0.2,1,1
coding languages,1,0.2,1,1
coding programming,1,0.2,1,1
core strength,1,0.4,1,1
gene,1,0.2,1,1
genes,1,0.2,1,1
hyalectans,1,0.2,1,1
large aggregating proteoglycan,1,0.4,1,1
lecticans,1,0.2,1,1
machine learning,1,0.2,1,1
neural network,1,0.2,1,1
precursor,1,0.2,1,1
protein,1,0.4,1,1
protein coding gene,1,0.2,0.5,1
proteins,1,0.2,0.5,1
proteoglycans,1,0.2,1,1
sox,1,0.2,1,1
tissue expression,1,0.2,1,1
accept the establishment,1,0.2,1,1
accept this information,1,0.2,0.5,1
acceptance angle,1,0.2,1,1
accepting information from,1,0.4,1,1
approve information,1,0.2,1,1
authorization of information,1,0.2,1,1
behaviour information analysis,1,0.2,1,1
contain information,1,0.2,0.5,1
contain items,1,0.2,1,1
data accepted,1,0.2,1,1
data set,1,0.2,1,1
display,1,0.2,1,1
display a data,1,0.2,1,1
display a information,0.9197207891,0.4,1,1
display an information,1,0.2,1,1
display data,1,0.2,1,1
display information,1,0.2,1,1
indicate a data,1,0.2,1,1
indicate data,1,0.2,1,1
indicate information,1,0.2,1,1
informal letter,1,0.2,1,1
information,1,0.2,1,1
information data,1,0.2,1,1
information processing apparatus,1,0.2,1,1
information storage,1,0.2,1,1
information value,1,0.2,1,1
price he or she accepts,1,0.2,1,1
receiving information,1,0.2,1,1
sanction information,1,0.2,1,1
third option to accept,1,0.2,1,1
transaction information,1,0.2,1,1
undertake information,1,0.2,1,1
achieve access,1,0.2,1,1
achieve authentication accuracy,1,0.2,1,1
achieve authorization,1,0.4,1,1
achieve goal,1,0.2,1,1
achieve goals,1,0.2,1,1
achieve local authentication,1,0.2,1,1
achieve mutual authentication,1,0.4,1,1
achieve success,1,0.2,0.5,1
achieve target,1,0.2,1,1
achieve the authentication requirement,1,0.4,1,1
achieve verification,1,0.2,1,1
biometric,1,0.2,1,1
denial of authorization,1,0.2,1,1
denied access,1,0.2,1,1
encryption,1,0.2,1,1
failed authorization request,1,0.2,1,1
login,1,0.2,1,1
multi factor authentication,1,0.2,1,1
signature,1,0.2,1,1
target achieved,1,0.2,1,1
vehicle verification,1,0.2,1,1
absorbent cotton,1,0.2,1,1
absorption spectrum,1,0.2,1,1
acid,1,0.2,1,1
acid absorption column,1,0.2,1,1
acid absorption tower,1,0.2,1,1
acid digestion,1,0.2,1,1
acid distillation,1,0.2,1,1
acid recovery,1,0.2,1,1
acid stripping,1,0.2,1,1
acid wash,1,0.2,0.625,1
acid wash distillation,1,0.2,1,1
acid water distillation,1,0.2,1,1
acid water wash,1,0.2,1,1
acrylic acid absorption,1,0.2,1,1
amino acids,1,0.2,1,1
catalytic hydrogenation,1,0.2,0.5,1
catalytic oxidation,1,0.2,1,1
chemical analysis,1,0.2,1,1
chemical inhibition,1,0.2,1,1
h2so4 absorption,1,0.2,1,1
hydro catalytic hydrogenation,1,0.2,1,1
hydro catalytic oxidation,1,0.2,1,1
hydrochloric acid absorption,1,0.2,1,1
hydroformylation,1,0.2,1,1
hydrogenation,1,0.2,1,1
hydroxycarboxylicacid absorption,1,0.2,1,1
membrane catalytic hydrogenation,1,0.4,0.8333335,1
membrane catalytic oxidation,1,0.2,1,1
membrane hydrogenation,1,0.2,1,1
membrane oxidation,1,0.2,1,1
near infrared ray absorption,1,0.2,1,1
nitric acid absorption,1,0.2,1,1
oxidation,1,0.2,0.2,1
oxidative hydrogenation,1,0.4,1,1
oxide,1,0.2,1,1
oxide distillation,1,0.2,1,1
oxide recovery,1,0.4,1,1
oxide stripping,1,0.2,1,1
oxide wash,1,0.2,1,1
photon absorption,1,0.2,1,1
photosynthesis,1,0.2,1,1
phytic acid,1,0.2666666667,0.638889,1
rosmarinic acid,1,0.2,1,1
sulfuric acid,1,0.2,0.8333333333,1
transdermal absorption,1,0.2,1,1
absorption of acid,1,0.2,1,1
absorption of carbohydrates,1,0.2,1,1
absorption tower,1,0.2,1,1
acid,1,0.4,1,1
acid absorption,1,0.2,1,1
acid adsorption,1,0.2,1,1
acid distillation,1,0.2,1,1
acid exchange,1,0.2,0.5,1
acid gas distillation,1,0.4,0.5,1
acid gas exchange,1,0.2,1,1
acid gas scrubbing,1,0.2,1,1
acid immersion,1,0.2,1,1
acid indigestion,1,0.2,0.333333,1
acid oxide distillation,1,0.2,1,1
acid oxide scrubbing,1,0.2,0.6666665,1
acid purification,1,0.2,1,1
acid rain,1,0.2666666667,1,1
acid reflux,1,0.2,1,1
acid scrubbing,1,0.2,1,1
acid water,1,0.2,1,1
acid water distillation,1,0.2,1,1
acid water exchange,1,0.2,1,1
acidic foods,1,0.2,1,1
acidic immersion,1,0.2,1,1
amino acid absorption,1,0.2,1,1
chemical absorption,1,0.2,1,1
chemically soaked,1,0.2,1,1
fertilizer absorption,1,0.2,1,1
hcl acid absorption,1,0.3,1,1
multi section connection pipe,1,0.2,1,1
oxide,1,0.2,1,1
oxide acid distillation,1,0.2,1,1
oxide acid exchange,1,0.2,1,1
oxide distillation,1,0.2,1,1
oxide exchange,1,0.2,0.7333332,1
oxide gas distillation,1,0.2,1,1
oxide gas exchange,1,0.2,1,1
oxide gas scrubbing,1,0.4,1,1
oxide purification,1,0.2,1,1
oxide scrubbing,1,0.2,1,1
oxide water,1,0.2,1,1
oxide water distillation,1,0.2,0.5,1
oxide water exchange,1,0.2,1,1
soil water absorption,1,0.2,1,1
spray washing bottle body,1,0.2,1,1
steel structural member cleaning maintenance device,1,0.4,1,1
acknowledgement,1,0.2571428571,0.9642857143,1
communication protocol,1,0.2,1,1
data,1,0.2,1,1
data network,1,0.2,0.5,1
data networks,1,0.2,1,1
flad holder pole,1,0.2,1,1
flag,1,0.2,1,1
flag hoist,1,0.2,1,1
frame,1,0.2,1,1
header,1,0.2,1,1
indications of cystoscopy,1,0.2,1,1
indicative device,1,0.2,1,1
indicative message,1,0.2,1,1
indicator,1,0.2,1,1
message,1,0.2,1,1
message ringtone,1,0.2,1,1
red signal,1,0.2,1,1
signal,1,0.2,1,1
telecommunication,1,0.2,1,1
acknowledge,1,0.2,1,1
address id,1,0.2,1,1
bus acknowledge,1,0.2,1,1
bus acknowledgement,1,0.2,1,1
busy acknowledge,1,0.2,0.2,1
busy path,1,0.2,1,1
data,1,0.2,1,1
flag pole,1,0.2,1,1
frame flag,1,0.4,0.666667,1
header id,1,0.2,1,1
liveness message,1,0.4,1,1
negative acknowledgement,1,0.2,1,1
network,1,0.2,1,1
null data,1,0.2,1,1
positive acknowledgement,1,0.2,1,1
positive acknowledgement packet,1,0.2,0.75,1
provide for tuning,1,0.2,1,1
provide restoring force,1,0.2,1,1
provided acknowledgement,1,0.3,1,1
provider networks,1,0.2,0.333333,1
server message,1,0.2,1,1
sms acknowledgement,1,0.2,1,1
tcp acknowledgement,1,0.2,1,1
window frame,1,0.2,1,1
acoustic effect,1,0.4,0.666667,1
acoustic modulator,1,0.2,1,1
acoustic optical modulator,1,0.2,1,1
acousto optic element,1,0.2,1,1
acousto optic modulating element,1,0.2,1,1
acousto optical element,1,0.2,1,1
acoustooptic,1,0.2,1,1
acoustooptic deflector,1,0.2,1,1
amplifier,1,0.2,1,1
analog signal,1,0.2,1,1
beam support,1,0.2,1,1
electrical drive signal,1,0.2,1,1
electrooptical,1,0.2,1,1
electrooptical effect,1,0.4,1,1
electrooptical modulator,1,0.2,1,1
isolator,1,0.2,1,1
laser beam,1,0.2,1,1
light wave,1,0.2,1,1
moderator reactor,1,0.2,1,1
modulator chemistry,1,0.4,1,1
modulator enzyme,1,0.2,1,1
modulator medicine,1,0.2,1,1
optic nerve,1,0.2,1,1
optical coupler,1,0.2,1,1
optical frequency shifter,1,0.2,0.2,1
optical modulator,1,0.2,1,1
optical splitter,1,0.4,1,1
optical splitting coupler,1,0.2,1,1
optical splitting splitter,1,0.2,1,1
output coupler,1,0.3,1,1
output modulator,1,0.2,1,1
piezoelectric,1,0.2,1,1
piezoelectric modulator,1,0.2,1,1
sound signal,1,0.2,1,1
sound waves,1,0.2666666667,0.888889,1
acid groups,1,0.2,1,1
acid units,1,0.2,0.5,1
acrylate,1,0.3,1,1
acrylate functional groups,1,0.2,1,1
acrylate ion,1,0.2,1,1
acrylate monomers,1,0.2,1,1
acrylate units,1,0.2,1,1
acrylic acid,1,0.2,1,1
aryl halide,1,0.2,1,1
carbonyl carbon,1,0.2,1,1
carboxylic acid groups,1,0.2,1,1
coametic,1,0.4,1,1
comonomer,1,0.2,1,1
contained acrylate groups,1,0.2,1,1
contained acrylate units,1,0.2,1,1
contained functional groups,1,0.2,1,1
contained functional units,1,0.2,1,1
copolymerized acrylate groups,1,0.2,1,1
copolymerized acrylate units,1,0.2,1,1
copolymerized functional groups,1,0.2,1,1
copolymerized functional units,1,0.2,1,1
copolymers,1,0.2,1,1
ester group,1,0.2,1,1
functional acrylate,1,0.4,0.4,1
functional groups,1,0.2,1,1
group discussion,1,0.2,1,1
group of students,1,0.2,1,1
groups,1,0.2,0.8333333333,1
interpolymer invention,1,0.2,1,1
maleic acid groups,1,0.2,0.25,1
medical group,1,0.25,1,1
methacrylate,1,0.2,1,1
methacrylate groups,1,0.2,1,1
methacrylate units,1,0.2,1,1
methyl acrylate,1,0.2,1,1
methyl methacrylate,1,0.2,1,1
modified acrylates,1,0.2,1,1
monomers,1,0.4,0.666667,1
nitro group,1,0.2,1,1
paper,1,0.2,0.333333,1
pendant group,1,0.2,1,1
polymers,1,0.2,1,1
prop 2 enoates,1,0.2,0.2,1
salts and esters,1,0.4,1,1
sheet,1,0.2,1,1
unsaturated groups,1,0.2,1,1
unsaturated units,1,0.2,1,1
vinyl group,1,0.2,1,1
absence,1,0.2,1,1
activator,1,0.2,1,1
activator position,1,0.2,1,1
activator site,1,0.2,1,1
aperture,1,0.2,1,1
aperture position,1,0.2,1,1
aperture site,1,0.2,1,1
distal extended position,0.6309297536,0.2,1,1
distal extended state,1,0.3,1,1
distal position,1,0.2,1,1
distal state,1,0.2,1,1
initial position,1,0.2,1,1
intermediate position,1,0.2,1,1
lancing,1,0.2,1,1
lancing configuration,1,0.2,1,1
lancing position,1,0.2,1,1
opening,1,0.2,1,1
opening position,1,0.2,1,1
proximal distal position,1,0.2,1,1
proximal extended position,1,0.2,1,1
proximal extended state,1,0.4,1,1
retracted position,1,0.2,1,1
retracted state,1,0.2,1,1
use configuration,1,0.2,1,1
use position,1,0.2,1,1
activated grid position,1,0.2,1,1
activated position,1,0.2,1,1
activating area,1,0.2,1,1
activating card,1,0.2,1,1
activating location,1,0.2,1,1
activating point,1,0.2,1,1
activating position,1,0.2,1,1
activating powder,1,0.2,1,1
activating spot,1,0.2,1,1
activation function in neural network,1,0.2,1,1
activation position,1,0.2,1,1
cell position,1,0.2,1,1
closed configuration,1,0.2,1,1
closed position,1,0.2,1,1
conveyor chain,1,0.2,1,1
extended position,1,0.2,1,1
heater tray,1,0.2,1,1
housing,1,0.2,1,1
knotter operating mechanism,1,0.2,1,1
open configuration,1,0.2,1,1
open point,1,0.2,1,1
open position,1,0.4,1,1
operating position,1,0.2,1,1
outer container,1,0.2,1,1
position of thyroid gland,1,0.2,1,1
producing a coil,1,0.2,1,1
protruding position,1,0.2,0.5,1
sealed package,1,0.3,1,1
spinal cord position,1,0.2,1,1
activated,1,0.2,1,1
activated position,1,0.2,1,1
activating,1,0.2,1,1
activating condition,1,0.2,1,1
activating configuration,1,0.2,1,1
activating positions,1,0.2,1,1
activation,1,0.2,1,1
activation condition,1,0.2,1,1
activation configuration,1,0.2,1,1
activation position,1,0.2,1,1
activation state,1,0.2,1,1
active material,1,0.2,1,1
active region,1,0.4,1,1
active transport,1,0.4,1,1
active working location,1,0.4,1,1
deactivating position,1,0.2,1,1
designated port,1,0.2,1,1
functional location,0.9197207891,0.4,1,1
geoposition,1,0.2,0.333333,1
initial operative position,1,0.2,1,1
initial runner,1,0.2,1,1
initial symptoms,1,0.2,1,1
location finder,1,0.2,1,1
nodes,1,0.2,1,1
operating positions,1,0.2,1,1
operative person,1,0.2,1,1
positions,1,0.4,1,1
protected link,1,0.2,1,1
routing topology,1,0.2,1,1
working position,1,0.2,1,1
acetyl chloride,1,0.2,1,1
acid functionalized acylate,1,0.2,1,1
acid with acyl introduction,1,0.2,1,1
acidity,1,0.2,1,1
acyl groups into acid,1,0.2,1,1
acylate,1,0.4,1,1
acylate with chloride,1,0.2,1,1
acylating agent,1,0.2,1,1
acylation with acid,1,0.2,1,1
bouquet,1,0.2,1,1
cellulose acylate films,1,0.4,1,1
electrophile,1,0.2,1,1
fatty acids,1,0.2,1,1
gastric acidity,1,0.2,1,1
introduction session,1,0.4,1,1
metal catalysts,1,0.2,1,1
modification,1,0.2,1,1
produce cellulose acylate film,1,0.2,1,1
self introduction,1,0.2,1,1
ulcer,1,0.2,1,1
adapt for training,1,0.2,1,1
adaptation of polar bear,1,0.2,1,1
adapted mind,1,0.2,1,1
adapted vehicle,1,0.4,1,1
adapter,1,0.2,1,1
adaptive learning,1,0.2,1,1
adaptive learning communication,1,0.2,1,1
channel of communication,1,0.2,1,1
charger,1,0.2,0.5,1
communication channels,1,0.2,1,1
configured learning,1,0.2,1,1
constructive learning,1,0.2,1,1
food adaptation,1,0.2,1,1
language education,1,0.2,1,1
language learning,1,0.2,0.333333,1
provided learning,1,0.2,1,1
provided learnings,1,0.6,1,1
speech communication,1,0.2,1,1
training,1,0.2,1,1
use for learning,1,0.2,1,1
verbal communication,1,0.2,1,1
adaptive,1,0.2,1,1
adaptive behaviour,0.973240263,0.4,0.9166666667,1
adaptive equalizer,1,0.4,1,1
adaptive immunity,1,0.2,1,1
adaptive linear structured light,1,0.2,1,1
adaptive modular guideway,1,0.2,1,1
adaptive radiation,1,0.2,1,1
adaptive signal,1,0.2,1,1
adaptive skills,1,0.2,0.75,1
adaptive structure,1,0.2,1,1
adjustable linear,1,0.2,1,1
array,1,0.2,1,1
array signal,1,0.2,1,1
artificial neural network,1,0.2,1,1
fixed pattern,1,0.2,1,1
flexible linear,1,0.2,1,1
interpolation method,1,0.4,1,1
linear adaptive,1,0.3,0.8333335,1
linear call,1,0.2,1,1
linear equation,1,0.2,1,1
machine learning,1,0.2,1,1
non linear adaptive,1,0.2,1,1
self adaptive linear,1,0.2,0.5,1
signal,1,0.2,1,1
three dimensional measurement,1,0.2,1,1
time invariant filter,1,0.2,1,1
adapting,1,0.2,1,1
adapting linear,1,0.2,1,1
adaptive,1,0.2,1,1
adaptive filter,1,0.2,1,1
adaptive immunity,1,0.2,1,1
adaptive linear combiner,1,0.2,1,1
adaptive linear digital model,1,0.2,1,1
adaptive linear equalization,1,0.2,1,1
adaptive linear filter,1,0.2,1,1
adaptive nature,1,0.2,1,1
adaptive radiation,1,0.2,1,1
automatic linear,1,0.2,1,1
dynamic linear,1,0.2,1,1
equalizer,1,0.2,1,1
linear adaptive,1,0.4,1,1
linear contrast enhancement,1,0.2,1,1
linear graph,1,0.4,1,1
linear model,1,0.2,1,1
linear pair of angles,1,0.2,1,1
linearly adaptive,1,0.2333333333,0.7638888333,1
mp tc,1,0.4,1,1
network,1,0.2,0.5,1
non adaptive speckle filtering,0.6309297536,0.2,1,1
non linear model,1,0.2,1,1
recursion estimator,1,0.2,1,1
adhering mount,1,0.2,1,1
adhesive,1,0.2,1,1
adhesive attachment,1,0.2,1,1
adhesive bases,1,0.2,1,1
adhesive forces,1,0.2,1,1
adhesive layer,1,0.2,1,1
adhesive mount,1,0.2,1,1
bracket mount,1,0.2,1,1
cohesive mount,1,0.2,1,1
fixation tape,1,0.2,0.1,1
fixed mount,1,0.2,1,1
flange,1,0.2363636364,1,1
flange comprising including,1,0.2,1,1
flange comprising mounting,1,0.2,1,1
flange including,1,0.2,0.333333,1
flange mounting,1,0.2,1,1
glue mounting,1,0.2,1,1
lens mount,1,0.2,1,1
mountain range,1,0.2,1,1
mounting,1,0.2,1,1
mounting a mountain,1,0.2,1,1
mounting bracket,1,0.2,1,1
mounting comprising including,1,0.2,1,1
mounting flange including,1,0.2,1,1
mounting flange mounting,1,0.2,1,1
mounting glues,1,0.2,1,1
mounting needle,1,0.2,1,1
mounting of file system,1,0.2,1,1
mounting using adhesives,1,0.2,1,1
rapid drying,1,0.2,1,1
releasable mounting,1,0.2,1,1
removable adhesive mounting,1,0.2,1,1
screw mount,1,0.2,1,1
separate adhesive mounting,1,0.2666666667,1,1
sticking mount,1,0.2,1,1
temporary mounting,1,0.2,1,1
adjacent angles,1,0.2,1,1
adjacent front,1,0.2,1,1
adjacent lateral surface,1,0.2,1,1
adjacent lateral surface area,1,0.2,1,1
adjacent sides,1,0.3333333333,1,1
adjacent to mall,1,0.2,1,1
adjacent to office,1,0.2,1,1
adjacent to side,1,0.2,1,1
adjacent to station,1,0.2,1,1
area of the base,1,0.2,1,1
arranged laterally,1,0.2,1,1
corresponding inwardly,1,0.2,1,1
height,1,0.2,1,1
inwardly,1,0.2,1,1
lateral communication,1,0.2,1,1
lateral object,1,0.2,1,1
lateral speech,1,0.2,1,1
laterally,1,0.2,1,1
laterally adjacent,1,0.2,1,1
laterally on side,1,0.2,1,1
laterally positioned,1,0.2,1,1
longitudinally of laterally,1,0.2,1,1
longitudinally spaced laterally,1,0.2,1,1
opposite sides,1,0.4,1,1
radius,1,0.2,1,1
respective inwardly,1,0.2,1,1
respective outwardly,1,0.2,1,1
spaced lateral sides,1,0.2,1,1
spaced laterally,1,0.2,0.5,1
upwardly,1,0.2,1,1
abutting laterally,1,0.2,1,1
adjacent,1,0.2,1,1
adjacent buildings,1,0.4,0.70833325,1
adjacent channel interference,1,0.2,1,1
adjacent communications,1,0.2,1,1
adjacent laterally,1,0.2,1,1
adjacent nerves,1,0.2,1,1
adjacent sideways,1,0.2,1,1
adjacent system,1,0.2,1,1
adjoining laterally,1,0.2,1,1
awl tip portion,1,0.2,1,1
closely,1,0.2,1,1
contiguous laterally,1,0.2,1,1
cup units,1,0.4,1,1
immediately,1,0.2,0.5,1
insulated metal wire,1,0.2,1,1
lateral,1,0.2,1,1
lateral communication,1,0.2,0.5,1
laterally,1,0.2,1,1
laterally adjacent,1,0.2,1,1
laterally restrained beam,1,0.2,1,1
separated laterally,1,0.2,1,1
successive circumferentially,1,0.2,1,1
successive closely,1,0.2,1,1
successively,1,0.2,1,1
threading tool,1,0.2,1,1
welding coated stamped sections,1,0.2,1,1
adjust bike speed,1,0.2,1,1
adjust flow,1,0.2,1,1
adjust in bus,1,0.2,1,1
adjust space in home,1,0.2,1,1
adjustment cost,1,0.2,1,1
alter gas flow,1,0.2,1,1
alter the gas flow rate,1,0.2,1,1
block gas flow,1,0.2,1,1
controlled gas flow,1,0.2,1,1
external,1,0.2,1,1
flower,1,0.2,1,1
gas,0.6309297536,0.2,1,1
gas supply,1,0.2,1,1
moderate the gas flow rate,1,0.2,1,1
modify gas flow,1,0.2,1,1
modify the gas flow rate,1,0.2,1,1
pressure,1,0.2,0.5,1
pressurized supply,1,0.8,0.363636,1
psychology,1,0.2,1,1
regulate gas flow,1,0.2,1,1
regulate the gas flow rate,1,0.2,1,1
supply gas,1,0.2,1,1
supply pressure,1,0.2,1,1
supplying gas,1,0.4,0.333333,1
supplying pressure,1,0.2,1,1
supplying processing gas,1,0.2,1,1
supplying processing substrate,1,0.2,1,1
supplying the gas,1,0.2,1,1
supplying the substrate,1,0.2,1,1
transfer,1,0.2,1,1
transferring processing gas,1,0.2,1,1
transferring processing substrate,1,0.2,1,1
transferring the gas,1,0.4,1,1
transferring the substrate,1,0.2,1,1
water pressure,1,0.2,1,1
adjust fan,1,0.2,1,1
adjust gas flow rate,1,0.2,1,1
adjustable table,1,0.4,1,1
adjusting fluid flow,1,0.2,1,1
altering gas flow,1,0.2,1,1
calibrating adjustment,1,0.2,1,1
changing gas flow,1,0.2,0.5,1
control graph,1,0.6,1,1
control instruments,1,0.2,1,1
control valve,1,0.2,1,1
controlling gas flow,1,0.2,1,1
flow chart,1,0.2,1,1
flow meter,1,0.2,1,1
flowing gas,1,0.2,1,1
gas flow,1,0.3,1,1
gas pressure adjustment,1,0.2,1,1
gas regulator,1,0.2,1,1
measuring unit,1,0.2,1,1
regulating unit,1,0.2,1,1
regulator,1,0.2,1,1
adjustable,1,0.2,1,1
adjustable multi,1,0.2,1,1
adjustable multiple,1,0.2,1,1
adjustable multiple angles,1,0.2,1,1
adjustable multiple blades,1,0.2,1,1
adjustable screen brightness,1,0.2,1,1
adjustable shunt regulator,1,0.2,1,1
adjustable wifi router,1,0.2,1,1
adjusted multiple,1,0.2,1,1
aim adjustable multiple,1,0.4,1,1
composite material workpiece,1,0.2,1,1
electronic conductor plates,1,0.2,1,1
fixed multiple blades,1,0.2,1,1
flexible multiple,1,0.2,1,1
grip,1,0.2,1,1
improved,1,0.4,1,1
improved boring,1,0.2,1,1
improved cutting,1,0.2,1,1
interchangeable,1,0.6,1,1
multiple adjustable,1,0.2,1,1
multiple adjustment,0.4306765581,0.2,0.5,1
multiple alterable,1,0.4,1,1
multiple cancer,1,0.2,1,1
multiple disease of the brain spinal cord,1,0.2,1,1
multiple fixed,1,0.4,1,1
multiple lanes,1,0.2,1,1
multiple modifiable,1,0.2,1,1
sliding panel,1,0.2,1,1
various adjustments,0.8154648768,0.2,1,1
adaptable multiple,1,0.2,1,1
adjustable,1,0.2,1,1
adjustable eye patch,1,0.2,1,1
adjustable multiple,1,0.2,1,1
adjustable screen brightness,0.6309297536,0.2,1,1
